"measure","xvar","r2","correlation","p.value.xvar","padj"
"4-Pyridoxate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.206743338,-0.496393162,0.022087032,0.070771764
"Nicotinamide","Bacteroidales.S24.7.unclassified",0.326378623,-0.600049741,0.004032072,0.026526792
"Nicotinamide","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.201223989,0.491083281,0.023782368,0.070780857
"Nicotinamide","Clostridiales.Ruminococcaceae.unclassified",0.12855629,0.414883689,0.06146682,0.132854384
"Phosphate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.072248345,-0.344435666,0.126269532,0.203223496
"Diphosphate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.114788417,-0.398809473,0.073322872,0.147680897
"D-Glucose","Clostridiales.Mogibacteriaceae.unclassified",0.343381936,-0.613361915,0.003107206,0.021185493
"D-Glucose","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.205462534,-0.49516604,0.022469983,0.070771764
"D-Glucose","Clostridiales.Ruminococcaceae.unclassified",0.03311321,-0.285407689,0.20980579,0.302604505
"D-Glucose","Clostridiales.Ruminococcaceae.Anaerotruncus",-0.00419343,-0.214513966,0.350424371,0.433693529
"D-Hexose 6-phosphate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.261828144,0.546568145,0.010355162,0.044390133
"D-Glyceraldehyde 3-phosphate","Clostridiales.Mogibacteriaceae.unclassified",0.267033785,-0.551073585,0.009620026,0.043463973
"D-Glyceraldehyde 3-phosphate","Bacteroidales.S24.7.unclassified",0.194131144,0.484174128,0.026141625,0.075408533
"2-Phospho-D-glyceric acid","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.313927437,0.590111061,0.004862994,0.030454174
"2-Phospho-D-glyceric acid","Bacteroidales.S24.7.unclassified",0.250575723,-0.536700043,0.012126111,0.050525461
"2-Phospho-D-glyceric acid","Clostridiales.Ruminococcaceae.unclassified",-0.001789792,0.219771921,0.338453544,0.424481869
"Pyruvate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.547240401,-0.754902895,7.65e-05,0.005780942
"Pyruvate","Clostridiales.Mogibacteriaceae.unclassified",0.262558724,-0.547202694,0.010248935,0.044390133
"Pyruvate","Clostridiales.Ruminococcaceae.unclassified",0.013226175,-0.250129698,0.27415227,0.36586157
"Lactate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.471884059,-0.705896491,0.000349525,0.009242847
"Lactate","Lactobacillales.Lactobacillaceae.Lactobacillus",0.206057184,0.495736144,0.022291416,0.070771764
"Lactate","Clostridiales.Ruminococcaceae.unclassified",0.114447192,-0.398402852,0.073643541,0.147680897
"Mannitol","Clostridiales.Mogibacteriaceae.unclassified",0.246783357,-0.533333094,0.012783838,0.052680651
"Mannitol","Bacteroidales.S24.7.unclassified",0.19068931,0.480785654,0.027364584,0.078270695
"D-Ribose","Clostridiales.Mogibacteriaceae.unclassified",0.34458518,-0.614293025,0.003049789,0.021179092
"D-Ribose","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.22447578,-0.513080882,0.017377299,0.064383494
"Succinate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.462388717,-0.699477863,0.000417187,0.009242847
"Succinate","Clostridiales.Mogibacteriaceae.unclassified",0.361778405,-0.627446799,0.002328777,0.018286235
"Succinate","Clostridiales.Ruminococcaceae.unclassified",0.128142903,-0.414410133,0.061793813,0.132854384
"Succinate","Coriobacteriales.Coriobacteriaceae.Adlercreutzia",-0.032730024,-0.137500827,0.552272102,0.627581934
"alpha-D-Ribose 1-phosphate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.313794382,0.590003952,0.004872668,0.030454174
"Glutathione","Clostridiales.Ruminococcaceae.Ruminococcus",0.090078204,0.368204147,0.10052913,0.173622921
"Glutathione","Clostridiales.Ruminococcaceae.unclassified",0.089652458,-0.367654505,0.101077071,0.173622921
"Glutathione","Clostridiales.Mogibacteriaceae.unclassified",0.075385235,-0.348734818,0.121296876,0.199873674
"Glutathione","Clostridiales.unclassified.unclassified",0.011848024,0.247498733,0.279397981,0.371071404
"Glutathione","Bacteroidales.S24.7.unclassified",-0.046333234,-0.077352617,0.738931632,0.811677169
"Glutathione","Clostridiales.Ruminococcaceae.Anaerotruncus",-0.048142968,-0.065300691,0.778540429,0.841362135
"Glutathione","Clostridiales.Lachnospiraceae.unclassified",-0.048689712,0.061194553,0.79216231,0.848745333
"Glutathione","Bacteroidales.Rikenellaceae.unclassified",-0.050330894,0.046750947,0.840518261,0.882897333
"Glutathione","Clostridiales.Ruminococcaceae.Oscillospira",-0.050980821,0.039600761,0.864673937,0.903210937
"Glutathione","Coriobacteriales.Coriobacteriaceae.Adlercreutzia",-0.051366956,-0.034661097,0.881431164,0.918157462
"Glutathione","Turicibacterales.Turicibacteraceae.Turicibacter",-0.05227772,-0.018334832,0.937126378,0.950854182
"Glutathione","Bacteroidales.Porphyromonadaceae.Parabacteroides",-0.052333285,-0.016833864,0.942264851,0.952424041
"Glutathione disulfide","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.040112085,0.296827359,0.191340089,0.282490289
"5-Oxoproline","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.055701102,0.32080531,0.156220924,0.241081673
"S-Glutathionyl-L-cysteine","Clostridiales.Mogibacteriaceae.unclassified",0.304858395,-0.582765369,0.005564452,0.032560385
"S-Glutathionyl-L-cysteine","Clostridiales.Ruminococcaceae.unclassified",0.133197487,-0.420163793,0.057909336,0.130035935
"S-Glutathionyl-L-cysteine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.034501374,-0.287708716,0.205993156,0.29845372
"Dehydroascorbate","Lactobacillales.Lactobacillaceae.Lactobacillus",0.203512471,0.493291848,0.023065068,0.070771764
"Dehydroascorbate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.082693208,-0.358550621,0.11047328,0.186840066
"Dehydroascorbate","Coriobacteriales.Coriobacteriaceae.Adlercreutzia",-0.014748066,0.189708559,0.410144353,0.489822077
"gamma-Glutamyl-Se-methylselenocysteine","Bacteroidales.S24.7.unclassified",0.072743146,-0.345117355,0.125471486,0.203088174
"gamma-L-Glutamyl-D-alanine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.409173889,-0.662355791,0.001070222,0.014333325
"gamma-L-Glutamyl-D-alanine","Clostridiales.Ruminococcaceae.unclassified",0.003507855,-0.230938221,0.313843874,0.399670146
"gamma-Glutamyl-gamma-aminobutyrate","Clostridiales.Mogibacteriaceae.unclassified",0.032019099,0.283580931,0.212865791,0.304674319
"gamma-Glutamyl-gamma-aminobutyrate","Clostridiales.Ruminococcaceae.Anaerotruncus",0.021017938,-0.264512837,0.246574146,0.339945974
"gamma-Glutamyl-gamma-aminobutyrate","Bacteroidales.Rikenellaceae.unclassified",0.014325135,0.252208006,0.270052462,0.36297374
"gamma-Glutamyl-gamma-aminobutyrate","Clostridiales.Lachnospiraceae.Coprococcus",0.010486033,0.244870846,0.284699669,0.37329502
"gamma-Glutamyl-gamma-aminobutyrate","Clostridiales.Ruminococcaceae.Ruminococcus",-0.018419248,0.180282319,0.434209162,0.51527986
"gamma-Glutamyl-gamma-aminobutyrate","Turicibacterales.Turicibacteraceae.Turicibacter",-0.020174596,-0.175596508,0.446444442,0.52317708
"gamma-Glutamyl-gamma-aminobutyrate","Clostridiales.Ruminococcaceae.unclassified",-0.020769961,-0.173978554,0.450710574,0.526531045
"gamma-Glutamyl-gamma-aminobutyrate","Clostridiales.Ruminococcaceae.Oscillospira",-0.026851154,-0.156497296,0.498127026,0.57653591
"gamma-Glutamyl-gamma-aminobutyrate","Bacteroidales.S24.7.unclassified",-0.047728475,0.06824917,0.768797181,0.833233939
"gamma-Glutamyl-gamma-aminobutyrate","Lactobacillales.Lactobacillaceae.Lactobacillus",-0.048305178,0.064109909,0.782484537,0.843194544
"gamma-Glutamyl-gamma-aminobutyrate","Clostridiales.Lachnospiraceae.unclassified",-0.048635015,-0.061617657,0.790755919,0.848745333
"gamma-Glutamyl-gamma-aminobutyrate","Coriobacteriales.Coriobacteriaceae.Adlercreutzia",-0.05020515,0.048011534,0.836273232,0.880905792
"gamma-Glutamyl-gamma-aminobutyrate","Clostridiales.unclassified.unclassified",-0.051851087,-0.027229896,0.906730583,0.934131782
"gamma-Glutamyl-gamma-aminobutyrate","Clostridiales.Lachnospiraceae.unclassified.1",-0.052027294,-0.023959772,0.917892709,0.942463269
"gamma-Glutamyl-gamma-aminobutyrate","Bacteroidales.Porphyromonadaceae.Parabacteroides",-0.052630992,-0.000746443,0.997437872,0.997437872
"(5-L-Glutamyl)-L-glutamine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.203619986,-0.493395365,0.023031876,0.070771764
"L-Homocysteine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.056832463,0.322476107,0.153954184,0.238565368
"Dimethylglycine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.075099659,-0.348345627,0.121741156,0.199873674
"L-Citrulline","Clostridiales.Ruminococcaceae.unclassified",0.165951182,-0.455690271,0.037892977,0.096665758
"L-Citrulline","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.127884953,-0.414114362,0.061998712,0.132854384
"Spermidine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.352775424,0.62059379,0.002684092,0.019356432
"Spermine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.359079915,0.625400607,0.002430467,0.018600515
"5-Guanidino-2-oxopentanoate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.134104071,-0.421187449,0.057238213,0.129303193
"Creatine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.456613151,0.695544746,0.00046395,0.009242847
"Creatine","Clostridiales.Mogibacteriaceae.unclassified",0.273195267,0.55635915,0.008812569,0.041703671
"Creatine","Coriobacteriales.Coriobacteriaceae.Adlercreutzia",0.206384374,0.496049549,0.022193735,0.070771764
"Creatine","Clostridiales.Ruminococcaceae.unclassified",0.0116827,0.247181239,0.28003522,0.371071404
"Creatinine","Coriobacteriales.Coriobacteriaceae.Adlercreutzia",0.396139948,0.652941767,0.001332389,0.015644508
"Creatinine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.153630838,0.442661604,0.044482087,0.10631921
"4-Acetamidobutanoate","Turicibacterales.Turicibacteraceae.Turicibacter",0.135315072,0.422550965,0.056353514,0.128840997
"4-Acetamidobutanoate","Bacteroidales.S24.7.unclassified",0.10431032,0.386127964,0.083827653,0.157966684
"4-Acetamidobutanoate","Clostridiales.Mogibacteriaceae.unclassified",0.094905452,-0.374379726,0.094521227,0.167634791
"4-Acetamidobutanoate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.068442166,-0.339146071,0.132585666,0.211036492
"Guanidinoacetate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.052485789,0.316008702,0.16285727,0.249271332
"Pantothenate","Clostridiales.Ruminococcaceae.unclassified",0.220934319,-0.509791725,0.018235034,0.066389687
"Pantothenate","Turicibacterales.Turicibacteraceae.Turicibacter",0.076523056,-0.350281178,0.119543139,0.198356978
"Pantothenate","Clostridiales.Ruminococcaceae.Ruminococcus",0.050211662,0.312571718,0.167730916,0.255687371
"Taurine","Bacteroidales.S24.7.unclassified",0.534261711,-0.746691788,0.000100979,0.005780942
"Taurine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.436104822,0.681395319,0.000671083,0.010941576
"Hypotaurine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.099785721,0.380521267,0.088812665,0.162462193
"L-Methionine S-oxide","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.538498699,-0.749382255,9.23e-05,0.005780942
"Indole","Lactobacillales.Lactobacillaceae.Lactobacillus",0.292176978,0.572335678,0.006702464,0.036205181
"Indole","Clostridiales.Mogibacteriaceae.unclassified",0.179005239,-0.469100178,0.031933139,0.084330474
"Indole","Clostridiales.Ruminococcaceae.unclassified",0.161628695,-0.451162121,0.040090351,0.098881023
"Indole","Bacteroidales.S24.7.unclassified",0.125119686,0.410930288,0.064237345,0.134575444
"Indole","Turicibacterales.Turicibacteraceae.Turicibacter",0.11473359,0.398744166,0.073374303,0.147680897
"Indole","Clostridiales.Lachnospiraceae.unclassified.1",0.041416417,-0.298907338,0.188099043,0.27990929
"Indole","Bacteroidales.Rikenellaceae.unclassified",0.01636515,-0.256021274,0.262631131,0.356835776
"Indole","Clostridiales.Ruminococcaceae.Anaerotruncus",-0.002747001,0.217693246,0.343156927,0.427521089
"Indole","Bacteroidales.Porphyromonadaceae.Parabacteroides",-0.037470801,-0.120011414,0.604343307,0.680566787
"Indole","Clostridiales.Lachnospiraceae.unclassified",-0.046453234,-0.076612193,0.741347891,0.811677169
"Indole","Clostridiales.Lachnospiraceae.Coprococcus",-0.048871105,0.059769978,0.796902125,0.851391159
"Indole","Clostridiales.unclassified.unclassified",-0.049875917,0.051165208,0.825672635,0.87461932
"Indole","Clostridiales.Ruminococcaceae.Ruminococcus",-0.051585445,0.031525021,0.892095742,0.926692253
"Indole-3-acetaldehyde","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.207290454,0.496916423,0.021925329,0.070771764
"Indole-3-acetate","Clostridiales.Mogibacteriaceae.unclassified",0.448066741,-0.689683554,0.000541917,0.009677082
"Indole-3-acetate","Bacteroidales.S24.7.unclassified",0.35640966,0.623369214,0.002535081,0.019013108
"Indole-3-acetate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.288001352,-0.568859635,0.00712186,0.037093019
"Indoxyl","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.268167854,-0.552050235,0.009466439,0.043291641
"L-Formylkynurenine","Clostridiales.Mogibacteriaceae.unclassified",0.354627003,-0.622009367,0.002607199,0.019170584
"Serotonin","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.2362639,0.52388043,0.014786537,0.057759908
"Glycerol 3-phosphate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.029850808,0.279925468,0.219077522,0.311189662
"Ethanolamine phosphate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.372020167,0.635152862,0.001977241,0.017653936
"Choline","Clostridiales.Mogibacteriaceae.unclassified",0.397482985,0.653918065,0.001302898,0.015644508
"Choline","Bacteroidales.S24.7.unclassified",0.37661722,-0.638581521,0.001835839,0.017210987
"Choline","Clostridiales.Ruminococcaceae.unclassified",0.218109762,0.507153107,0.018947425,0.067373944
"Choline","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.204476207,0.494218977,0.022769141,0.070771764
"L-Carnitine","Clostridiales.Mogibacteriaceae.unclassified",0.203034623,-0.492831504,0.023213139,0.070771764
"L-Carnitine","Bacteroidales.S24.7.unclassified",0.201233124,0.491092117,0.023779463,0.070780857
"L-Carnitine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.163586903,-0.453219105,0.039080187,0.098709518
"L-Carnitine","Clostridiales.unclassified.unclassified",0.118767511,-0.403520924,0.069683351,0.143190466
"L-Carnitine","Clostridiales.Ruminococcaceae.Anaerotruncus",0.042672672,0.300897056,0.185033642,0.276444685
"L-Carnitine","Clostridiales.Lachnospiraceae.unclassified",-0.006481605,0.209385948,0.36233348,0.443577601
"L-Carnitine","Coriobacteriales.Coriobacteriaceae.Adlercreutzia",-0.031176096,-0.142768023,0.53699768,0.612079423
"CAR 3:0","Bacteroidales.S24.7.unclassified",0.502090084,0.725937724,0.000195084,0.006650578
"CAR 3:0","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.294752513,-0.574469222,0.006455283,0.035598988
"CAR 3:0","Clostridiales.Ruminococcaceae.unclassified",0.207901983,-0.497500637,0.021745908,0.070771764
"CAR 4:0","Clostridiales.Mogibacteriaceae.unclassified",0.531108854,-0.74468343,0.000107911,0.005780942
"CAR 4:0","Bacteroidales.S24.7.unclassified",0.365579747,0.630317983,0.002192125,0.018286235
"CAR 4:0","Clostridiales.Ruminococcaceae.unclassified",0.18998869,-0.480092965,0.027620073,0.078270695
"CAR 4:0;O","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.45610265,0.695196028,0.000468304,0.009242847
